id	url	artifact_path	headers_path	artifact_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
status	https://x.com/EXM7777/status/2060736517564477901	data/primary/XEM7/pages/status/index.html	data/primary/XEM7/pages/status/response-headers.txt	e634621659ab5649197e089cf979cdfc522ce116736e65f20fccacb0d9436a94	60c5094bbb6e888b3c15a553ee87d88881abada98a4e741f9c87859034c3aea8	2026-06-01T09:26:10Z	200	Mon, 01 Jun 2026 09:26:10 GMT	HTML and headers are redacted for cookie values.
article	https://x.com/i/article/2060729909690224640	data/primary/XEM7/pages/article/index.html	data/primary/XEM7/pages/article/response-headers.txt	0e900436a136af0d475b7d7b939445e3aed327faae4e2e43ca3a3ce9664feca1	889a366fa7a0ba08c70532352120f37662e99cb3bf5892598e83cbd602d0b33b	2026-06-01T09:26:44Z	200	Mon, 01 Jun 2026 09:26:44 GMT	HTML and headers are redacted for cookie values; article body was not exposed in initial state.
article-body	https://x.com/i/article/2060729909690224640	data/primary/XEM7/pages/article-body/index.md		415dadb13d8de63642a0f4372f96796895a06d1afe35f73e792485479f9ee3aa		2026-06-01T09:46:19Z			Article body provided by the human customer as a saved text snapshot; 223 lines, 3100 words, 18304 bytes.
