id	url	html_path	headers_path	html_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
cli/features	https://developers.openai.com/codex/cli/features	knowledge/primary/CODX/pages/cli/features/index.html	knowledge/primary/CODX/pages/cli/features/response-headers.txt	60aadb9c22e203a6f5d2e9fd8159d39783437193678bce7ced1b52065e21be1c	57444eb4d8926b56f0d2923d9d18d98aabb1815251199c6a21c88691e14065a0	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:31 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cli/reference	https://developers.openai.com/codex/cli/reference	knowledge/primary/CODX/pages/cli/reference/index.html	knowledge/primary/CODX/pages/cli/reference/response-headers.txt	91d663b0cd8984e60ee46cb52586c54dd75ff3ae727741720c6c8e1df4fc4f7e	d7be05086a410561f50cff1c5ed554c8a98863a9f28e6f13bb022e0502d3b799	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:59:10 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cli/slash-commands	https://developers.openai.com/codex/cli/slash-commands	knowledge/primary/CODX/pages/cli/slash-commands/index.html	knowledge/primary/CODX/pages/cli/slash-commands/response-headers.txt	8aed84374c7a60cc95b9dd378a8732f12a63290e45c28c3671e71313645ab91e	f0a74334c2434bba5f5a0549b1d73cab66e4722d959eba54bc58aa99084a3728	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:41 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cloud	https://developers.openai.com/codex/cloud	knowledge/primary/CODX/pages/cloud/index.html	knowledge/primary/CODX/pages/cloud/response-headers.txt	ac96bf9eed5e98221d987dd27c2d06f94f86d22cd38cae7f4b5ab2249351b1b6	16bc5c0bd6ec5d0d7cf495d61e4dfe56e6587ca3a731b8004bf370bc928a4d50	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:56:58 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cloud/environments	https://developers.openai.com/codex/cloud/environments	knowledge/primary/CODX/pages/cloud/environments/index.html	knowledge/primary/CODX/pages/cloud/environments/response-headers.txt	22fca0314408f5e2369a4ad8ec8b5d9c102e70f1db8a55f125525ed8452f4796	0b80f7f3dcf0007ecfae1008b6079636bc8dae2f5d1b52525f9adb68826cb2d8	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:31 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cloud/internet-access	https://developers.openai.com/codex/cloud/internet-access	knowledge/primary/CODX/pages/cloud/internet-access/index.html	knowledge/primary/CODX/pages/cloud/internet-access/response-headers.txt	5d673377e95bb022d40400ad72acc5f79b215acfd8112ef0240a31a3d70c4b18	b08afc1dbc746da6a00f2ce0f142c583014945ee9079e2779d08083d1560a2d0	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:50 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
concepts/customization	https://developers.openai.com/codex/concepts/customization	knowledge/primary/CODX/pages/concepts/customization/index.html	knowledge/primary/CODX/pages/concepts/customization/response-headers.txt	756ea73e6b4f5748e139bfe1c2a058bb960109d1ed480b1a48f19922ef2ca650	686751eaf204587cf3730cadc8483b269f85071513f428839fc6db965e2ac009	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:05 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
concepts/sandboxing	https://developers.openai.com/codex/concepts/sandboxing	knowledge/primary/CODX/pages/concepts/sandboxing/index.html	knowledge/primary/CODX/pages/concepts/sandboxing/response-headers.txt	3347f84de216d1e5a5339398f68ebeac881609b3dad4fbd3e0c8dbb14d7d70bc	79dc41fa73bf7089c0b3ed0b7d578b4154909b5e8c55c1866606d1f56da157f0	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:56:50 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
concepts/subagents	https://developers.openai.com/codex/concepts/subagents	knowledge/primary/CODX/pages/concepts/subagents/index.html	knowledge/primary/CODX/pages/concepts/subagents/response-headers.txt	73b846c570ddcedbf83beb7b3ceb761a73e2d089c1d349e6a30b18e1e1da6a93	9b9cc0639f57da1b9574d17324354fece4cbdf581d30ad3305f205e195a5e29f	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:13 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
config-advanced	https://developers.openai.com/codex/config-advanced	knowledge/primary/CODX/pages/config-advanced/index.html	knowledge/primary/CODX/pages/config-advanced/response-headers.txt	88f1bd06a8fafa467650de619f6a288d5422bc7cdee1612f12728c664e0b34f5	8d787445925b2a87c2086fde142108db89bf85b90f49a65e526ed396a7b9f29c	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:05 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
config-basic	https://developers.openai.com/codex/config-basic	knowledge/primary/CODX/pages/config-basic/index.html	knowledge/primary/CODX/pages/config-basic/response-headers.txt	fc17221decd0b9769798ae1b7337034ce913ed32c89ef790451c6ba2ddd078c5	19a8f57dc53501d7dcfc74e73985591dc4eb99a9790d48fbcea09db60af4cd2c	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:10 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
config-reference	https://developers.openai.com/codex/config-reference	knowledge/primary/CODX/pages/config-reference/index.html	knowledge/primary/CODX/pages/config-reference/response-headers.txt	ac9d80dc083e54dd0201755cdb4eba20beb3214464c92e0cf53eea2c21215737	0414463c379c12ed7c7b07c90e8819812e614aeaad4d52d9900bee34e2e15f38	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:38 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
config-sample	https://developers.openai.com/codex/config-sample	knowledge/primary/CODX/pages/config-sample/index.html	knowledge/primary/CODX/pages/config-sample/response-headers.txt	c8bb5007e56f54f21636cf9c9bad7d264e6c9c18bc926286d2c11ee21b1c9f19	158a72ab4cd30ae4df36bd85c1665ee9f6257ba4f1f469bdcf15964499494550	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:26 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
enterprise/access-tokens	https://developers.openai.com/codex/enterprise/access-tokens	knowledge/primary/CODX/pages/enterprise/access-tokens/index.html	knowledge/primary/CODX/pages/enterprise/access-tokens/response-headers.txt	ede7ce1f57a6c4ee5c4b96c8d235f4bf7d3b315b39ef7dc2f6e63f758cd9ddfc	211624e84905ee115a2a763a0e5483d0cc3e5329e1968a58301c5a1ad4d49ce9	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:01:46 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
enterprise/admin-setup	https://developers.openai.com/codex/enterprise/admin-setup	knowledge/primary/CODX/pages/enterprise/admin-setup/index.html	knowledge/primary/CODX/pages/enterprise/admin-setup/response-headers.txt	510af3a8316c82b387c7024e1d1f3e526f36d638ebb48801413f02dd6e9670ad	1388f011244479347cef74724fc9d9cb6d2e9a7a9ee198ae6031d3fb875345fc	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:59:50 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
enterprise/governance	https://developers.openai.com/codex/enterprise/governance	knowledge/primary/CODX/pages/enterprise/governance/index.html	knowledge/primary/CODX/pages/enterprise/governance/response-headers.txt	76c47f822a205521d415d4fffd747b8fdd68528abdc9f05a8d21e5a8757e31c4	fe67aeb8ccbd56effc150841b1bce10e0a1e9dbd6b785d1a51dca0c2aab223f5	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:59:06 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
enterprise/managed-configuration	https://developers.openai.com/codex/enterprise/managed-configuration	knowledge/primary/CODX/pages/enterprise/managed-configuration/index.html	knowledge/primary/CODX/pages/enterprise/managed-configuration/response-headers.txt	4bd25f2a1d29a445dba8a52c022cd948f76d1c5e422696db76f184c687eff352	5fde84bed3f784e82a27f3e9bd9d451af81c13eabc341fb18b8db90fb9e3e63e	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:19 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
environment-variables	https://developers.openai.com/codex/environment-variables	knowledge/primary/CODX/pages/environment-variables/index.html	knowledge/primary/CODX/pages/environment-variables/response-headers.txt	a00be30ada4d32ac1df37806ddddf1ff4ccc3e8b50b213312655678158354e0a	71d136449b07f08fb13bfaeb3f7fa6e8e386b6fd0fbd9a5844421563500771ac	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:32 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
github-action	https://developers.openai.com/codex/github-action	knowledge/primary/CODX/pages/github-action/index.html	knowledge/primary/CODX/pages/github-action/response-headers.txt	238d02937e0ab65ca3c93f0e8eebc063799b93e0cc53138bdffe0f823f2d96ee	f6dd30ad12d0838092aca25841620782f0d34258683010644f0a26db9bb464c5	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:59:28 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
guides/agents-md	https://developers.openai.com/codex/guides/agents-md	knowledge/primary/CODX/pages/guides/agents-md/index.html	knowledge/primary/CODX/pages/guides/agents-md/response-headers.txt	42febbd9e2d0e3cbf9b64fb68c188e1340808fda13cb2c2a4eb3ebbf10831e03	f7e2d58595c21ed521c3b2755197faa97471e2f5cb33fa60cf568f902726cf8a	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:56:45 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
hooks	https://developers.openai.com/codex/hooks	knowledge/primary/CODX/pages/hooks/index.html	knowledge/primary/CODX/pages/hooks/response-headers.txt	9144bb490d2ad1f3de4f13764d4575899895af76bdd0a3095a0935c035439ff5	14364a786975877d7de1cccbd4bfffd0215c8a9d93f1e8fb06e30181c3126bd1	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:41 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide	https://developers.openai.com/codex/ide	knowledge/primary/CODX/pages/ide/index.html	knowledge/primary/CODX/pages/ide/response-headers.txt	0e8c508d750710c4e3bc7bc8b7d0f23ff46a19ad914d772eff5f4a8d8b3b4588	495e15916b204a6bfafdc96911ae92b071f63c3f94e698e3f5d0a6e9216ba816	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:56:56 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide/commands	https://developers.openai.com/codex/ide/commands	knowledge/primary/CODX/pages/ide/commands/index.html	knowledge/primary/CODX/pages/ide/commands/response-headers.txt	e9c2bbf7c21cb4cdd06456497329f8d438fae7546aa39a40e2171aedef1eb2ba	c42b11c6ecce74bed7d6e475c803ac72ad9bac1019e37e951b6623d471553eb0	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:23 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide/features	https://developers.openai.com/codex/ide/features	knowledge/primary/CODX/pages/ide/features/index.html	knowledge/primary/CODX/pages/ide/features/response-headers.txt	d3bae42697c6381ac6fd925fcadf54f5859115c3bf65ed2a8af66010e5238e59	d9efa84e57e9378fb7e8c894a3ae91c6322bacf761705c7b5bbe033cf59d04a8	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:24 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide/settings	https://developers.openai.com/codex/ide/settings	knowledge/primary/CODX/pages/ide/settings/index.html	knowledge/primary/CODX/pages/ide/settings/response-headers.txt	96b5999faa0cf8f669fa198e7780bb804f5caa2f10e392385dd3c9b2b7992a08	2bd2f6b6c732a0785fcb1f0b6f7c6b953a44f7fa02c9ed5b758daaa97f3d96af	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:33 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide/slash-commands	https://developers.openai.com/codex/ide/slash-commands	knowledge/primary/CODX/pages/ide/slash-commands/index.html	knowledge/primary/CODX/pages/ide/slash-commands/response-headers.txt	c6ba371b372adc92e231a275a0f85db09e0b70ec156e18e9f135929d8c35bd61	184a633eacf747ad5e503e29dcf1e46ab8e71ac7f6b1074318f760cd8a5ba8a7	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:36 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
integrations/github	https://developers.openai.com/codex/integrations/github	knowledge/primary/CODX/pages/integrations/github/index.html	knowledge/primary/CODX/pages/integrations/github/response-headers.txt	b9f296f9654ab880c13585a215b101c75856b036bf368ad7cfaf953e59cf8c6e	427d9095b5706bf2784f6399865a127e9768ad6b61cd91594d14327c4d9f02cd	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:56:55 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
integrations/linear	https://developers.openai.com/codex/integrations/linear	knowledge/primary/CODX/pages/integrations/linear/index.html	knowledge/primary/CODX/pages/integrations/linear/response-headers.txt	72dfc8b9a0882c7d6df7c2ac73f16673502022e2d42c17447dd5729f2a11751a	861599c5dc9a6b0c086efcd37d141a59a79fa9e01f6fffdb0500a389f0e2ae5d	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:53 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
integrations/slack	https://developers.openai.com/codex/integrations/slack	knowledge/primary/CODX/pages/integrations/slack/index.html	knowledge/primary/CODX/pages/integrations/slack/response-headers.txt	767c3a5ac2d4009e5ccbd8f68437860e2daffdb1c6af93a3aca6b99909ec1daa	7ffc870c15fc58d9e598ce9e79f66bcc98736fd9a8d1dd95406b7fd25ae7ea9d	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:11 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
