id	artifact_path	sha256	notes
pdf	knowledge/primary/DSCT/files/avizienis-taxonomy-dependable-secure-computing.pdf	a6c1b102988b4abd5b1a1fc299cc73eeb8147b210a9e721a6111986a3fed6050	Avizienis и др., IEEE TDSC 2004; © IEEE, копия с сайта автора (landwehr.org); хранится локально, исключён из Git.
text	knowledge/primary/DSCT/files/avizienis-taxonomy-dependable-secure-computing.txt	8a96d3a50dc7db0a9894b1d86d6ff0d3fe865a1cbf4a8977ad816b60e7da44c4	pdftotext -layout (UTF-8); исключён из Git.
