id	artifact_path	sha256	notes
pdf	knowledge/primary/SREQ/files/software-requirements-3rd-ru.pdf	683e8428a367aac1b0da65dce1f1aab407171a79dc427224bbf681582490a380	Local working copy of the Russian edition PDF; excluded from Git.
text	knowledge/primary/SREQ/files/software-requirements-3rd-ru.txt	580f6a0490b7710b3a678dddc84a84df6afc2eb569a70f9a2d0ef6d701544828	Text extracted with pdftotext from the local PDF; excluded from Git.
