id	artifact_path	sha256	notes
pdf	knowledge/primary/SSDF/files/nist-sp-800-218.pdf	617746e553a9e2da49bfbd4eef0dfc3094758a39b869314e4173ac36605cde22	NIST SP 800-218 SSDF v1.1; public domain (US gov); stored locally, excluded from Git.
text	knowledge/primary/SSDF/files/nist-sp-800-218.txt	d41a1b1fff92a39936fce8374975042a8132f2c5bb58e80ae0f7582459669f00	pdftotext -layout (UTF-8); excluded from Git.
