id	artifact_path	sha256	notes
pdf	knowledge/data/ddde/items/pdf/ddd-evans-ru.local.pdf	8ef1848bedec791ddbf6409674b8b3a5f20b259912fa6636c76d762a6c22f86c	Local working copy of the Russian edition PDF; excluded from Git.
text	knowledge/data/ddde/items/text/ddd-evans-ru.local.txt	cd6e437c52fbfdfe064da9b97b0f0a73eef9b384e45ec7194d81cbce30c22773	Text extracted with pdftotext from the local PDF; ClearScan OCR layer, quality degraded; excluded from Git.
