id	artifact_path	sha256	notes
djvu	knowledge/.local/raw/smfr/sovremennye-metody-opisaniya-funkcionalnyh-trebovanii.djvu	84795c079a33f309a6d2a6c548119a82403b22ea53b88129805b3b80cfb2cb43	Local working copy of the DjVu book; excluded from Git.
text	knowledge/.local/raw/smfr/sovremennye-metody-opisaniya-funkcionalnyh-trebovanii.txt	7096e1f3aebb5ee0b9d005f9fbbdee0a18ed6fb3977e133a830f86f12c3496a3	Text extracted with djvutxt from the local DjVu; excluded from Git.
