id	artifact_path	sha256	notes
pdf	knowledge/primary/ETL5/files/enisa-threat-landscape-2025.pdf	7159159084473e903f1bf05be56f88d2f666e847beae00a9a70253c51f3dfef0	ENISA Threat Landscape 2025; CC BY 4.0; stored locally, excluded from Git.
text	knowledge/primary/ETL5/files/enisa-threat-landscape-2025.txt	55fcc0594633608d4d5310cc2220b3d226a4a015d8bee9d0fde584afab530090	pdftotext -layout (UTF-8); excluded from Git.
