id	url	body_path	headers_path	body_sha256	headers_sha256	retrieved_at	http_status	last_modified
licenses	https://opendatacommons.org/licenses/	knowledge/data/odcm/items/licenses/index.html	knowledge/data/odcm/items/licenses/response-headers.txt	8bb5cff0f767f0506a1532c284a4d01ee78abd19ceca9c1511ee8694e1a7bd0f	3f475b4618fcaa1af36f8f4510b9890944fdedfdc76418afc6045f4ad6a7fd19	2026-06-05T13:54:30Z	200	Tue, 03 Oct 2023 13:40:30 GMT
odbl	https://opendatacommons.org/licenses/odbl/	knowledge/data/odcm/items/odbl/index.html	knowledge/data/odcm/items/odbl/response-headers.txt	6ec8780daa355357d559fc44a63831ce606db4d466077874b1a8a44269454b52	c6586087fe6451452bfab48604a5fcc9bbc3e92e699e5a0956e6fdca5a6fc6e7	2026-06-05T13:54:31Z	200	Tue, 03 Oct 2023 13:40:30 GMT
by	https://opendatacommons.org/licenses/by/	knowledge/data/odcm/items/by/index.html	knowledge/data/odcm/items/by/response-headers.txt	4a8e979d208bf46cf2fdc2b612f0824e3db7e61608f98c317e3b8096da56b073	5a702c4f4caaaaf13bc7c656c6f8c28c8050ca1a0c803766de8b12b18c1227a6	2026-06-05T13:54:32Z	200	Tue, 03 Oct 2023 13:40:30 GMT
pddl	https://opendatacommons.org/licenses/pddl/	knowledge/data/odcm/items/pddl/index.html	knowledge/data/odcm/items/pddl/response-headers.txt	c55b3078abe2d92761d826a9a2d3497b61b19d8a6e7f2c09f0ca222b66503931	1b2df0f8f5c680f4dc1be10a3dbd92b62d90cb0bba33b8d989a56830b6a8e4e1	2026-06-05T13:54:33Z	200	Tue, 03 Oct 2023 13:40:30 GMT
faq-licenses	https://opendatacommons.org/faq/licenses/	knowledge/data/odcm/items/faq-licenses/index.html	knowledge/data/odcm/items/faq-licenses/response-headers.txt	b24b06a8720c8bed9243ef1562e8b86a21e04f47ae83c498aca2ef6f6fb5aeca	c6c5f84aff116914224baf57fdac1bbf8361e6562f08ee55e8ff2693e467ec0e	2026-06-05T13:54:34Z	200	Tue, 03 Oct 2023 13:40:30 GMT
