id	artifact_path	sha256	notes
pdf	knowledge/.local/raw/rtz/po-ksis-tech-task.pdf	92675dbb1224b728a81447121d660c9106dc7085ed74b556d3fabd7053741d23	Local working copy of the PDF guide; excluded from Git.
text	knowledge/.local/raw/rtz/po-ksis-tech-task.txt	81a2c7991dee41cdbb2ac07bb7b14101eeece2b57058ce55857584a20e87b42e	Text extracted with pdftotext from the local PDF; excluded from Git.
