id	url	body_path	headers_path	body_sha256	headers_sha256	retrieved_at	http_status	last_modified
licenses	https://spdx.org/licenses/	knowledge/data/spdx/items/licenses/index.html	knowledge/data/spdx/items/licenses/response-headers.txt	7fe341380f4388faf370165d49c722aa39520e3c3299506810f8916e5296a018	c64274c1f98c272e0eab8f9e6e7f67aae1857822bba01de45a137729701628e6	2026-06-05T13:54:09Z	200	Fri, 20 Feb 2026 21:45:40 GMT
exceptions-index	https://spdx.org/licenses/exceptions-index.html	knowledge/data/spdx/items/exceptions-index/index.html	knowledge/data/spdx/items/exceptions-index/response-headers.txt	44c6470e4fc232931b57c9f330407d793be72eb5e2483e48bb2eb8ab92ae9ca0	63633ab43bda2bc9ac8a8be18148e64185616768fd884373ef10a381aa0365e1	2026-06-05T13:54:10Z	200	Fri, 20 Feb 2026 21:45:40 GMT
license-expressions	https://spdx.github.io/spdx-spec/latest/annexes/spdx-license-expressions/	knowledge/data/spdx/items/license-expressions/index.html	knowledge/data/spdx/items/license-expressions/response-headers.txt	0b4047f15089dc50b557812c3eb0e8f7880734511a816b8b9999563408fb7aa2	2836b2a84eaeeb37750b329d25fc158a83ce70c9cb3850c522a33b85ab47379e	2026-06-05T13:54:11Z	200	Tue, 02 Jun 2026 16:24:58 GMT
matching-guidelines	https://spdx.github.io/spdx-spec/latest/annexes/license-matching-guidelines-and-templates/	knowledge/data/spdx/items/matching-guidelines/index.html	knowledge/data/spdx/items/matching-guidelines/response-headers.txt	ddf4999fdd51483480cead428fef434aba74814519f0df4ca7d5c0285dfae8d3	8af5476b653f6b3fab3def37c50e5837273f64b9fc898285297dbbab658941f4	2026-06-05T13:54:14Z	200	Tue, 02 Jun 2026 16:24:58 GMT
