id	artifact_path	sha256	notes
pdf	knowledge/.local/raw/g250/gost-r-iso-iec-25010-2015.pdf	b63ca8abfc533ad4a201a9120429dac095cee270c9a2af9bfef73acd33a92976	ГОСТ Р ИСО/МЭК 25010-2015; © Стандартинформ; локальная копия с текстовым слоем; исключён из Git.
text	knowledge/.local/raw/g250/gost-r-iso-iec-25010-2015.txt	5dfcd27f568664d30cf93b584dd944f02e993daa9a01c08089c2090123536dfe	pdftotext -layout (UTF-8); текстовый слой, вероятно OCR; исключён из Git.
